Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
modem_proc/sierra/ids/sierra_ids.lib/idssession.o,8920,1596,64,104,10684,0,65
modem_proc/sierra/ids/sierra_ids.lib/idsutil.o,4772,1990,0,7700,14462,22,43
modem_proc/sierra/ids/sierra_ids.lib/idsfumo.o,6108,1873,0,5,7986,0,114
modem_proc/sierra/ids/sierra_ids.lib/idssignature.o,1432,1227,0,1,2660,0,24
modem_proc/sierra/ids/sierra_ids.lib/idsavms.o,1356,796,0,0,2152,0,52
modem_proc/sierra/ids/sierra_ids.lib/idssms.o,6560,1519,8,2346,10433,5,153
modem_proc/sierra/ids/sierra_ids.lib/idswu.o,7996,1702,0,140,9838,9,101
modem_proc/sierra/ids/sierra_ids.lib/idsstubs.o,52,0,0,0,52,0,0
modem_proc/sierra/ids/sierra_ids.lib/idsui.o,7448,1260,21,8788,17517,2,89
modem_proc/sierra/ids/sierra_ids.lib/idsflash.o,2868,529,4,112,3513,3,37
modem_proc/sierra/ids/sierra_ids.lib/idsfdt.o,3088,580,3,24,3695,0,59
modem_proc/sierra/ids/sierra_ids.lib/idssprint.o,32356,8140,8,9488,49992,8,232
modem_proc/sierra/ids/sierra_ids.lib/idsvzw.o,16272,9033,224,2576,28105,8,77
modem_proc/sierra/ids/sierra_ids.lib/idsprofile.o,2300,641,0,0,2941,8,14
modem_proc/sierra/ids/sierra_ids.lib/idsims.o,2224,272,0,0,2496,0,18
modem_proc/sierra/ids/sierra_ids.lib/idsdx.o,516,8,0,8,532,0,1
modem_proc/sierra/ids/sierra_ids.lib/idsdxwwan.o,2992,1106,32,1400,5530,11,20
modem_proc/sierra/ids/sierra_ids.lib/idsfm.o,372,228,0,0,600,2,4
modem_proc/sierra/ids/sierra_ids.lib/rdms_utils.o,160,68,0,0,228,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_strlen.o,4,0,0,0,4,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_iu32toa.o,176,0,0,0,176,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_memset.o,4,0,0,0,4,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_memalloc.o,8,0,0,0,8,0,0
